,Lat,Lon,Base,Hour,Day,labels_kmeans,labels_dbscan,labels_agg
74067,40.758,-73.8491,1,17,1,4,0,2
39629,40.7744,-73.9457,1,6,2,1,1,1
554252,40.6765,-73.9837,3,23,2,0,1,0
11735,40.7646,-73.9778,0,12,3,1,1,1
362332,40.7564,-73.9839,3,5,5,1,1,1
384349,40.7541,-73.983,3,22,0,1,1,1
542132,40.7221,-74.004,3,6,2,0,1,0
304079,40.7527,-73.9894,2,16,4,1,1,1
478406,40.765,-73.9682,3,18,0,1,1,1
486727,40.7842,-73.9548,3,6,2,1,1,1
545883,40.8018,-73.9573,3,13,2,1,1,2
94571,40.7248,-74.0077,1,13,5,0,1,0
71234,40.692,-73.9862,1,4,1,0,1,0
393347,40.7106,-73.9479,3,11,2,0,1,0
490163,40.7889,-73.981,3,16,2,1,1,1
185566,40.745,-73.9869,1,0,6,1,1,1
537573,40.7079,-74.0059,3,17,1,0,1,0
297488,40.7416,-73.9976,2,22,2,0,1,1
77593,40.7567,-73.9829,1,12,2,1,1,1
487042,40.7381,-74.0085,3,7,2,0,1,0
32769,40.7464,-73.9719,0,17,1,1,1,1
493600,40.7095,-74.0129,3,22,2,0,1,0
375104,40.7685,-73.8624,3,19,6,4,1,2
455476,40.7365,-73.9871,3,21,3,0,1,1
264512,40.678,-73.9729,2,7,6,0,1,0
490041,40.6949,-74.1781,3,16,2,3,2,4
54470,40.748,-74.0009,1,19,4,0,1,0
512976,40.7413,-74.0078,3,1,5,0,1,0
107718,40.7673,-73.9797,1,9,1,1,1,1
347878,40.7569,-73.9987,3,21,3,1,1,1
513228,40.7282,-73.9993,3,1,5,0,1,0
280458,40.7481,-74.0051,2,0,4,0,1,0
359375,40.75,-73.9941,3,21,4,1,1,1
276761,40.7782,-73.9431,2,6,3,1,1,1
33279,40.7605,-73.9857,0,22,1,1,1,1
431757,40.7325,-73.9761,3,18,0,0,1,0
383741,40.7567,-73.9747,3,21,0,1,1,1
17718,40.723,-73.9974,0,19,1,0,1,0
293921,40.7256,-74.0055,2,4,2,0,1,0
449597,40.7343,-73.9916,3,7,3,0,1,0
463138,40.7272,-73.9953,3,21,4,0,1,0
418088,40.7472,-73.9564,3,15,5,1,1,0
262758,40.7543,-73.9694,2,18,5,1,1,1
554672,40.6456,-73.7768,4,8,1,2,3,3
94420,40.6879,-73.9698,1,12,5,0,1,0
551317,40.7395,-73.9952,3,19,2,0,1,1
562264,40.7397,-73.9825,4,7,4,0,1,1
551884,40.7299,-73.9882,3,20,2,0,1,0
219759,40.7531,-74.0038,2,10,1,1,1,0
193994,40.645,-73.7821,1,15,0,2,3,3
515401,40.7326,-73.9971,3,13,5,0,1,0
56742,40.817,-73.93,1,1,5,4,1,2
260414,40.7556,-73.9947,2,22,4,1,1,1
121398,40.6798,-73.9578,1,15,3,0,1,0
259568,40.7548,-73.9714,2,18,4,1,1,1
270831,40.7777,-73.9888,2,16,1,1,1,1
120565,40.7777,-73.9631,1,12,3,1,1,1
358932,40.7503,-73.9811,3,20,4,1,1,1
199,40.7303,-73.9937,0,8,1,0,1,0
86482,40.6469,-73.7899,1,22,3,2,3,3
314685,40.7234,-73.9897,2,14,0,0,1,0
367248,40.6439,-73.7831,3,19,5,2,3,3
282648,40.7186,-73.9863,2,18,4,0,1,0
298712,40.7028,-73.9867,2,10,3,0,1,0
334345,40.7677,-73.9618,3,8,2,1,1,1
183046,40.6373,-73.9316,1,20,5,0,-1,0
379966,40.7032,-74.0099,3,16,0,0,1,0
319594,40.7275,-73.9919,2,20,1,0,1,0
529507,40.7597,-73.9896,3,12,0,1,1,1
474925,40.7145,-74.0087,3,6,0,0,1,0
320221,40.731,-73.9896,2,2,2,0,1,0
202510,40.7472,-74.0031,1,18,1,0,1,0
504690,40.7777,-73.9589,3,9,4,1,1,1
43108,40.7504,-73.9914,1,20,2,1,1,1
159881,40.7831,-73.9504,1,9,3,1,1,1
356941,40.7201,-73.9938,3,18,4,0,1,0
557,40.7573,-73.9712,0,15,1,1,1,1
477519,40.6755,-73.9748,3,16,0,0,1,0
241739,40.7667,-73.9792,2,22,6,1,1,1
370126,40.7246,-73.9473,3,23,5,0,1,0
